date,category,description,amount
2026-04-01,Food,Lunch at cafe,12.50
2026-04-02,Transportation,Bus ticket,2.75
2026-04-03,School,Notebook,5.99
2026-04-04,Food,Dinner with friends,18.20
2026-04-05,Transportation,Train ticket,15.00
2026-04-06,Entertainment,Movie ticket,14.50
2026-04-07,Food,Groceries,45.30
2026-04-08,School,Textbook,32.00
2026-04-09,Transportation,Taxi,8.50
2026-04-10,Food,Coffee,4.75
2026-04-11,Entertainment,Concert ticket,55.00
2026-04-12,Food,Pizza delivery,22.00
2026-04-13,School,Stationery,12.50
2026-04-14,Transportation,Subway card,30.00
2026-04-15,Food,Restaurant,28.90
